PLAYER,MARKET,LINE,ODDS,IMPLIED_PROB,HOME_TEAM,AWAY_TEAM,GAME
Andre Drummond,REB,13.5,-101,0.5024875621890548,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jakob Poeltl,REB,8.5,-136,0.576271186440678,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Scottie Barnes,REB,7.5,106,0.4854368932038835,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Brandon Ingram,REB,5.5,106,0.4854368932038835,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
VJ Edgecombe,REB,5.5,120,0.45454545454545453,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
R.J. Barrett,REB,4.5,-153,0.6047430830039525,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Sandro Mamukelashvili,REB,4.5,106,0.4854368932038835,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Immanuel Quickley,REB,3.5,-156,0.609375,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Tyrese Maxey,REB,3.5,-147,0.5951417004048583,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Quentin Grimes,REB,3.5,-135,0.574468085106383,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Gradey Dick,REB,2.5,108,0.4807692307692308,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jamal Shead,REB,1.5,-114,0.5327102803738317,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Scottie Barnes,STL,1.5,104,0.49019607843137253,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Tyrese Maxey,STL,1.5,122,0.45045045045045046,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
VJ Edgecombe,STL,1.5,145,0.40816326530612246,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Quentin Grimes,STL,0.5,-243,0.7084548104956269,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Immanuel Quickley,STL,0.5,-227,0.6941896024464832,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Brandon Ingram,STL,0.5,-181,0.6441281138790036,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
R.J. Barrett,STL,0.5,-169,0.6282527881040892,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jakob Poeltl,STL,0.5,-156,0.609375,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Tyrese Maxey,3PM,3.5,-111,0.5260663507109005,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Quentin Grimes,3PM,2.5,-126,0.5575221238938053,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Immanuel Quickley,3PM,2.5,-123,0.5515695067264574,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
VJ Edgecombe,3PM,1.5,-161,0.6168582375478927,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
R.J. Barrett,3PM,1.5,-135,0.574468085106383,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Brandon Ingram,3PM,1.5,-109,0.5215311004784688,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
